D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,MARKET_SUSPEND_REGIME_SUM,1,MARKET_SUSPEND_REGIME_SUM,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,MARKET_SUSPEND_REGION_SUM,1,MARKET_SUSPEND_REGION_SUM,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,2,MARKET_SUSPEND_SCHEDULE,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE,1,MARKET_SUSPEND_SCHEDULE,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,MARKET_SUSPEND_SCHEDULE_TRK,1,MARKET_SUSPEND_SCHEDULE_TRK,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORCE_MAJEURE,OVERRIDERRP,1,OVERRIDERRP,INSERT-UPDATE,LASTCHANGED,1,0
D,PDR_REPORT,TABLE,1,FORECAST,INTERMITTENT_GEN,1,INTERMITTENT_GEN_FCST,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FORECAST,INTERMITTENT_GEN_DATA,1,INTERMITTENT_GEN_FCST_DATA,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,CONSTRAINT_FREQ_MEASURE,1,FPP_CONSTRAINT_FREQ_MEASURE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,CONTRIBUTION_FACTOR,1,FPP_CONTRIBUTION_FACTOR,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,EST_COST,1,FPP_EST_COST,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,EST_PERF_COST_RATE,1,FPP_EST_PERF_COST_RATE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,EST_RESIDUAL_COST_RATE,1,FPP_EST_RESIDUAL_COST_RATE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,FCAS_SUMMARY,1,FPP_FCAS_SUMMARY,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,FORECAST_DEFAULT_CF,1,FPP_FORECAST_DEFAULT_CF,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,FORECAST_RESIDUAL_DCF,1,FPP_FORECAST_RESIDUAL_DCF,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,FPP_PERFORMANCE,1,FPP_PERFORMANCE,INSERT,,1,0
D,PDR_REPORT,TABLE,1,FPP,FPP_RCR,1,FPP_RCR,INSERT,,1,0
